"TEAM","Average_Attendance","Total_Team_salary","Total_Twitter_Activity","TEAM_COLOR","TEAM_LOGOweblink"
"Chicago Bulls",21680,84.65,1409.5,"206 17 65","https://cdn.usteamcolors.com/images/nba/chicago-bulls.svg"
"Dallas Mavericks",19789,59.36,2092,"0 83 188","https://cdn.usteamcolors.com/images/nba/dallas-mavericks.svg"
"Sacramento Kings",17608,35.88,1070,"91 43 130","https://cdn.usteamcolors.com/images/nba/sacramento-kings.svg"
"Miami Heat",19643,48.26,394,"152 0 46","https://cdn.usteamcolors.com/images/nba/miami-heat.svg"
"Toronto Raptors",19830,52.39,323.5,"206 17 65","https://cdn.usteamcolors.com/images/nba/toronto-raptors.svg"
"Los Angeles Clippers",19088,80.02,2135,"200 16 46","https://cdn.usteamcolors.com/images/nba/los-angeles-clippers.svg"
"Cleveland Cavaliers",20562,102.57,10923,"111 38 61","https://cdn.usteamcolors.com/images/nba/cleveland-cavaliers.svg"
"Golden State Warriors",19596,88.91,19155.5,"253 185 39","https://cdn.usteamcolors.com/images/nba/golden-state-warriors.svg"
"Oklahoma City Thunder",18203,72.54,3409.5,"0 125 195","https://cdn.usteamcolors.com/images/nba/oklahoma-city-thunder.svg"
"New York Knicks",19774,93.43,6160.5,"245 132 38","https://cdn.usteamcolors.com/images/nba/new-york-knicks.svg"
"Boston Celtics",18553,92.14,1228,"0 131 72","https://cdn.usteamcolors.com/images/nba/boston-celtics.svg"
"Los Angeles Lakers",18949,75.01,1017,"85 37 130","https://cdn.usteamcolors.com/images/nba/los-angeles-lakers.svg"
"Portland Trail Blazers",19317,90.63,552,"224 58 62","https://cdn.usteamcolors.com/images/nba/portland-trail-blazers.svg"
"San Antonio Spurs",18423,98.37,5218,"196 206 212","https://cdn.usteamcolors.com/images/nba/san-antonio-spurs.svg"
"Utah Jazz",19673,77.66,1804.5,"0 43 92","https://cdn.usteamcolors.com/images/nba/utah-jazz.svg"
"Orlando Magic",17753,68.41,774,"196 206 211","https://cdn.usteamcolors.com/images/nba/orlando-magic.svg"
"New Orleans Pelicans",16173,62.5,542.5,"180 151 90","https://cdn.usteamcolors.com/images/nba/new-orleans-pelicans.svg"
"Houston Rockets",16973,67.16,1548.5,"206 17 65","https://cdn.usteamcolors.com/images/nba/houston-rockets.svg"
"Phoenix Suns",17283,55.4,1619,"29 17 96","https://cdn.usteamcolors.com/images/nba/phoenix-suns.svg"
"Indiana Pacers",16697,76.29,489.5,"253 187 48","https://cdn.usteamcolors.com/images/nba/indiana-pacers.svg"
"Memphis Grizzlies",16519,101.78,661,"93 118 169","https://cdn.usteamcolors.com/images/nba/memphis-grizzlies.svg"
"Charlotte Hornets",17332,88.06,588,"0 120 140","https://cdn.usteamcolors.com/images/nba/charlotte-hornets.svg"
"Philadelphia 76ers",17330,46.5,10228.5,"0 107 182","https://cdn.usteamcolors.com/images/nba/philadelphia-76ers.svg"
"Atlanta Hawks",15958,80.27,333.5,"225 58 62","https://cdn.usteamcolors.com/images/nba/atlanta-hawks.svg"
"Brooklyn Nets",15429,62.75,1315,"6 25 34","https://cdn.usteamcolors.com/images/nba/brooklyn-nets.svg"
"Milwaukee Bucks",15828,81.5,699.5,"0 71 27","https://cdn.usteamcolors.com/images/nba/milwaukee-bucks.svg"
"Washington Wizards",17002,70.72,315.5,"0 43 92","https://cdn.usteamcolors.com/images/nba/washington-wizards.svg"
"Denver Nuggets",14770,71.15,399.5,"13 34 64","https://cdn.usteamcolors.com/images/nba/denver-nuggets.svg"
"Minnesota Timberwolves",14809,47.82,1180,"120 190 32","https://cdn.usteamcolors.com/images/nba/minnesota-timberwolves.svg"
"Detroit Pistons",15979,64.38,164,"29 66 138","https://cdn.usteamcolors.com/images/nba/detroit-pistons.svg"
